sistema;num_cicloe;calle_prin;calle_secu;colonia;alcaldia;latitud;longitud;sitio_de_e;estatus
Ecobici;414;Parroquia;Jose Ignacio Bartolache;Del Valle Sur;Benito Juarez;19.370.221;-99.173.862;Arroyo;Instalada
Ecobici;415;San Francisco;Parroquia;Actipan;Benito Juarez;1.937.099;-99.176.135;Arroyo;Instalada
Ecobici;416;Recreo;Parroquia;Del Valle Sur;Benito Juarez;19.371.279;-99.177.623;Arroyo;Instalada
Ecobici;417;Goya;Augusto Rodin;Insurgentes Mixcoac;Benito Juarez;19.373.198;-99.184.274;Arroyo;Instalada
Ecobici;419;Actipan;Cadiz;Insurgentes Mixcoac;Benito Juarez;19.370.615;-99.181.606;Arroyo;Instalada
Ecobici;420;Maria Luz Bringas;Oso;Actipan;Benito Juarez;19.369.782;-99.179.707;Arroyo;Instalada
Ecobici;421;Maria Luz Bringas;Oso;Actipan;Benito Juarez;1.936.952;-99.179.421;Arroyo;Instalada
Ecobici;422;Bufalo;Eje 8 Sur Jose Maria Rico;Actipan;Benito Juarez;19.368.403;-99.177.472;Arroyo;Instalada
Ecobici;423;Moras;Eje 8 Sur Jose Maria Rico;Acacias;Benito Juarez;19.367.816;-99.175.269;Arroyo;Instalada
Ecobici;424;Amores;Eje 8 Sur Jose Maria Rico;Del Valle Sur;Benito Juarez;1.936.715;-9.917.055;Arroyo;Instalada
Ecobici;425;Nicolas San Juan;Av. Universidad;Del Valle Sur;Benito Juarez;1.936.704;-99.167.387;Arroyo;Instalada
Ecobici;427;Avenida Mexico-Coyoacan;Eje 8 Sur Av. Popocatepetl;Santa Cruz Atoyac;Benito Juarez;19.364.912;-99.162.968;Arroyo;Instalada
Ecobici;428;Prolongacion Uxmal;Eje 8 Sur Av. Popocatepetl;General Pedro Maria Anaya;Benito Juarez;19.363.404;-99.160.395;Arroyo;Instalada
Ecobici;429;Pirineos;Eje 8 Sur Av. Popocatepetl;Santa Cruz Atoyac;Benito Juarez;19.363.049;-99.158.436;Arroyo;Instalada
Ecobici;430;Tripoli;Eje 8 Sur Av. Popocatepetl;Santa Cruz Atoyac;Benito Juarez;1.936.205;-99.154.976;Arroyo;Instalada
Ecobici;432;Carrillo Puerto;Avenida Mexico-Coyoacan;General Pedro Maria Anaya;Benito Juarez;19.361.245;-9.916.239;Arroyo;Instalada
Ecobici;433;Jose Maria Olloqui;M. Lopez Cotilla;Del Valle Sur;Benito Juarez;19.363.548;-99.170.766;Arroyo;Instalada
Ecobici;434;Jose Maria Olloqui;Amores;Del Valle Sur;Benito Juarez;19.363.741;-99.171.268;Arroyo;Instalada
Ecobici;436;Rodriguez Saro;Bufalo;Actipan;Benito Juarez;1.936.623;-99.177.904;Arroyo;Instalada
Ecobici;437;Moras;Comunal;Acacias;Benito Juarez;19.364.916;-99.175.985;Arroyo;Instalada
Ecobici;438;Adolfo Prieto;Jose Maria Olloqui;Acacias;Benito Juarez;1.936.473;-99.174.447;Arroyo;Instalada
Ecobici;439;Amores;Avenida Coyoacan;Acacias;Benito Juarez;19.362.037;-99.172.683;Arroyo;Instalada
