Genero,Edad,Bici,Estacion salida,Estacion llegada,Duracion viaje en minutos
M,34.0,5109749,158-159,146,15.85
F,30.0,5696745,163,053,17.13
F,32.0,5830336,381,327,6.88
M,27.0,2551927,117,107-108,5.02
M,27.0,5697222,316,619,14.87
M,30.0,2746576,648,653,4.52
F,25.0,4681672,126,154,11.25
M,24.0,4628491,223,710,24.27
M,32.0,2165470,082,263,9.87
M,28.0,4410999,023,063,15.68
M,35.0,6113724,242,207,10.68
F,25.0,4852232,507,507,8.28
M,45.0,5317136,219,107-108,31.12
F,35.0,5953831,542,271-272,10.42
F,34.0,8812554,047,151,8.88
M,31.0,7339336,133,033,8.72
M,28.0,7475130,154,371,14.73
M,29.0,7486665,141,158-159,6.95
F,38.0,5523022,125,091,19.3
M,28.0,6401327,351,315,7.3
M,21.0,5772777,234,455,10.18
M,21.0,2850105,622,631,10.62
F,41.0,6093967,494,485,9.9
M,28.0,5954144,178,191,6.93
F,35.0,3188463,141,257,20.6
M,38.0,4377784,028,051,9.83
M,34.0,7692643,056,270,14.85
M,25.0,7919780,537,549,13.23
M,38.0,4336665,638,409,13.58
M,37.0,4525390,182,138,15.08
F,40.0,5403621,405,412,5.95
F,27.0,4212700,296,280,5.67
M,21.0,7323801,381,348,5.02
M,57.0,7062367,170,309,6.82
M,41.0,3002797,590,635,15.03
M,30.0,8725723,505,537,17.65
M,33.0,2945319,593,084,14.63
M,36.0,6915672,465,480,5.63
M,20.0,2132561,122,027,9.13
M,34.0,8112013,020,550,16.93
F,28.0,7104318,096,235-236,32.92
M,35.0,6663041,419,386,4.08
M,36.0,6491047,365,645,18.47
M,26.0,8816613,618,357,14.35
M,42.0,8952236,059,027,12.97
F,32.0,7392129,058,068,3.07
M,24.0,3348794,495,500,5.75
F,35.0,2345379,548,550,8.2
M,30.0,6315493,185,271-272,35.3
M,35.0,8023442,365,284,9.82
M,53.0,5261433,668,331,16.05
M,18.0,4491510,118,155,10.1
M,27.0,8757767,291,627,9.73
O,20.0,3306461,663,656,9.67
F,39.0,4628186,209,208,11.2
F,48.0,8709230,090,560,16.75
F,19.0,7190465,612,618,3.6
M,37.0,5281159,456,222,15.83
M,30.0,5227277,078,291,15.53
M,37.0,4414645,511,502,10.13
M,26.0,5690474,455,191,16.45
M,41.0,3409786,014,048,17.9
M,22.0,7730161,308,027,21.62
F,34.0,8324063,087,071,35.03
F,23.0,3104882,210,140,31.85
M,24.0,6810436,386,419,2.62
F,32.0,8716391,560,130,13.83
M,34.0,2566289,425,372,9.68
F,43.0,2467744,462,449,31.97
M,27.0,5226543,360,615,10.17
M,43.0,2273613,018,174,16.72
F,25.0,2413318,162,037,13.08
M,30.0,4315446,313,354,5.77
M,37.0,8387920,092,112,12.7
M,35.0,2242345,701,648,6.15
F,25.0,8974875,540,047,20.62
F,52.0,2648145,497,520,17.57
F,28.0,8466369,078,054,8.68
M,49.0,2174084,310,284,5.82
M,25.0,3022456,080,169,6.93
F,22.0,7335375,616,053,26.18
F,34.0,3271806,043,052,2.62
F,24.0,5183710,675,699,23.32
M,25.0,4323028,035,007,6.32
M,36.0,8626889,166,131,18.52
F,35.0,5768569,129,256,10.67
M,28.0,8835266,442,627,13.32
F,48.0,7917800,148,158-159,2.95
M,36.0,8185910,320,127,19.95
F,29.0,8076176,012,005,6.25
M,32.0,4123485,539,226,27.03
M,39.0,3016474,689,684,5.53
M,28.0,3213766,361,024,19.02
M,23.0,7533276,507,504,4.2
F,34.0,5178934,120,555,13.12
M,20.0,6640635,357,392,7.23
F,27.0,6992234,089,116,14.45
F,29.0,4871075,158-159,035,16.48
M,24.0,4418984,672,688,33.98
M,25.0,6118889,277,009,16.48
M,51.0,5072855,308,691,24.78
F,31.0,3325560,115,560,28.98
M,24.0,4095725,029,263,4.92
M,28.0,3636016,595,409,20.03
F,36.0,7047277,474,212,9.58
M,34.0,3704608,566,012,13.48
F,36.0,2475390,063,069,8.53
M,50.0,6576268,001,487,22.22
M,26.0,4633459,563,137,4.33
F,38.0,6013254,493,469,7.3
M,44.0,4479598,552,555,3.55
M,35.0,6522312,326,453,20.2
M,40.0,8864076,005,008,13.87
F,42.0,5130430,402,625,13.37
M,32.0,6541825,106,118,11.82
M,29.0,7017742,050,032,7.47
F,36.0,7966039,543,068,34.97
M,24.0,3003571,498,495,3.9
F,30.0,6098875,142,181,9.73
M,54.0,2005916,695,432,10.27
M,27.0,3834280,009,025,6.1
M,54.0,8280935,359,178,21.23
M,48.0,2946655,054,219,17.98
M,35.0,5482336,572,145,12.52
F,29.0,3951589,119,109,11.0
M,49.0,8488793,251,555,35.23
M,37.0,3664141,049,038,4.92
M,27.0,5876529,573,139,15.55
F,36.0,4227989,111,111,21.33
M,30.0,7610942,277,322,13.63
F,23.0,8232506,480,509,10.72
M,24.0,6316921,656,663,9.37
F,33.0,4732731,047,045,3.87
M,26.0,3039039,573,593,18.03
M,27.0,6271514,059,257,16.55
M,51.0,5999495,507,495,14.48
F,41.0,2777688,308,333,8.38
M,29.0,6190292,021,044,7.72
M,30.0,8470098,497,237-238,20.18
M,31.0,5104849,462,224,17.48
M,33.0,8989568,476,014,11.52
M,34.0,5478359,077,073,2.35
F,51.0,6009187,657,654,4.42
M,33.0,8255051,237-238,351,28.83
F,31.0,5010384,628,624,4.63
M,30.0,4421772,172,044,10.77
F,36.0,4560512,437,420,3.4
M,42.0,3957214,040,255,14.07
M,44.0,6287296,696,440,9.67
M,29.0,4773446,558,124,7.47
M,57.0,4350856,317,326,12.18
M,37.0,8927709,182,163,15.83
F,30.0,8554479,133,077,23.5
M,33.0,2483725,054,679,33.92
M,24.0,2486868,475,462,16.47
M,29.0,8052862,134,158-159,6.67
M,37.0,3666898,126,042,34.43
M,50.0,6016299,249,194,5.12
M,48.0,5616529,258,385,24.83
M,34.0,5381207,031,271-272,16.38
F,31.0,3902475,286,125,21.68
M,31.0,5072855,125,125,17.53
F,35.0,4328654,192-193,028,33.4
M,26.0,6812051,485,263,17.57
M,24.0,8974875,143,264-275,21.88
F,45.0,5337373,271-272,194,17.22
F,34.0,5847983,651,398,11.08
M,34.0,2659993,037,222,22.92
M,36.0,5613211,495,486,5.02
F,25.0,4740619,158-159,147,4.18
F,46.0,5308010,062,080,5.65
M,22.0,7155500,494,498,13.93
O,34.0,5672696,340,321,6.02
F,24.0,2553618,390-391,385,3.55
M,32.0,8618258,009,120,8.53
M,46.0,7461056,568,566,4.37
F,44.0,7396286,481,479,3.27
M,32.0,2038792,703,685,18.0
M,27.0,3223823,507,035,32.48
M,37.0,4595765,113,266-267,9.88
O,36.0,3040979,470,533,23.58
F,26.0,5004304,576,082,15.78
M,43.0,2948743,045,578,13.38
M,31.0,5448816,461,201,11.67
M,34.0,5117957,541,544,4.57
M,39.0,4549192,217,054,14.07
M,28.0,5670393,374,277,13.08
M,40.0,5632310,103,470,6.02
M,19.0,4740353,563,563,36.18
M,44.0,3998580,051,030,6.35
M,43.0,3383437,251,117,12.82
M,29.0,6944680,041,017,12.15
M,34.0,2646297,675,662,7.35
F,27.0,7723737,491,481,11.27
F,35.0,2656817,068,028,10.85
F,19.0,3665973,507,510,4.98
F,29.0,2019768,139,054,9.22
M,41.0,7075450,628,409,5.83
M,34.0,7434277,113,616,16.0
M,28.0,4472890,072,104,29.83
M,56.0,5583018,436,390-391,7.25
O,22.0,6862452,024,268-269,16.72
M,29.0,4353108,384,416,5.22
M,38.0,8122053,373,373,2.48
M,26.0,2499580,174,111,4.05
M,39.0,4504858,573,149,10.57
M,37.0,6045637,290,365,14.52
M,32.0,6215123,584,578,5.9
M,40.0,6767024,034,014,9.25
F,23.0,6389621,094,007,25.03
M,46.0,3141926,133,147,7.1
M,30.0,4767521,194,253,6.03
M,32.0,6578686,036,141,34.15
M,37.0,4789350,114,576,10.5
M,53.0,8455214,385,421,7.95
M,26.0,8684284,291,321,11.62
F,39.0,6934269,135,040,14.32
M,36.0,2730927,280,629,13.77
M,45.0,6938872,702,688,20.83
M,41.0,8699225,249,205,6.72
F,34.0,8014300,593,595,4.13
M,35.0,6869465,102,296,36.38
F,34.0,5831912,539,548,5.6
M,30.0,2543098,460,210,7.18
M,30.0,6998330,676,676,31.58
M,35.0,8577694,642,420,16.5
M,20.0,5302658,644,427,7.98
M,19.0,5751052,301,621,14.05
F,25.0,8847311,631,588,19.25
M,34.0,2999043,084,061,5.4
M,35.0,3049145,197,200,9.55
F,32.0,4367132,216,462,10.67
M,29.0,5312442,548,266-267,17.72
M,36.0,8324063,337,378,6.67
M,52.0,7627540,044,065,33.78
M,28.0,7293657,261,546,25.18
M,39.0,2299105,696,440,6.0
M,34.0,5751052,014,124,11.57
F,36.0,2145159,192-193,034,25.87
M,24.0,2677656,255,450,11.7
M,48.0,3194966,055,549,12.85
M,50.0,8471336,093,052,12.88
M,27.0,4197596,152,066,7.15
F,40.0,7291263,284,149,12.8
F,34.0,6970388,474,174,10.32
M,31.0,6087977,133,107-108,5.93
M,33.0,2108207,219,711,12.78
F,38.0,8455883,292,278,4.0
M,28.0,2005213,109,024,18.95
M,35.0,7325723,055,041,36.5
F,22.0,2399905,163,121,12.87
M,26.0,3134160,186,075,5.05
F,35.0,8990376,053,045,5.13
M,24.0,4781670,466,474,9.7
M,55.0,5226543,329,326,7.53
M,28.0,3042520,326,393,16.35
F,23.0,8928392,551,121,10.07
M,41.0,3997772,499,548,10.25
M,36.0,5751664,255,257,27.23
M,20.0,7082936,093,041,15.82
M,41.0,7984727,271-272,041,4.73
M,41.0,5636832,052,064,19.32
M,32.0,5337753,011,113,4.42
M,35.0,2360030,046,149,7.9
F,24.0,8046146,300,335,5.7
M,35.0,8537367,121,098,17.98
M,29.0,3171261,257,271-272,13.18
F,52.0,7863921,025,088,39.0
M,43.0,2409571,538,548,7.65
F,46.0,3841459,562,124,3.33
F,52.0,8205635,009,271-272,16.58
F,24.0,6304083,185,385,19.5
M,29.0,5976550,230,230,2.27
F,20.0,5301429,553,019,9.58
M,27.0,7901895,215,249,14.65
F,37.0,3462587,041,125,12.55
M,33.0,8032989,223,195,6.08
M,28.0,6832752,493,493,2.08
M,31.0,7026875,512,517,5.53
F,25.0,4436424,165,276,9.28
F,29.0,3135456,329,305,10.45
F,24.0,8205957,538,548,7.47
F,28.0,5408950,303,142,17.32
M,37.0,3784071,579,575,2.1
M,46.0,8244592,227,194,14.92
M,40.0,6004162,158-159,064,14.18
F,32.0,4836920,059,128,8.18
M,27.0,7437734,079,079,21.77
M,28.0,8543647,052,268-269,9.92
M,22.0,4267563,206,228,5.28
M,28.0,6994602,354,425,13.05
M,32.0,6396402,398,335,15.15
M,18.0,7942337,555,499,13.13
M,29.0,4207007,685,398,22.2
M,27.0,4140356,483,492,4.32
M,26.0,3664240,271-272,469,13.08
M,50.0,8381493,594,601,7.43
M,28.0,7775711,004,271-272,12.43
M,35.0,2472819,370,316,8.82
M,28.0,2485266,323,326,11.47
F,22.0,8650814,284,173,11.9
M,27.0,8420945,496,506,13.22
M,34.0,2063758,645,381,19.03
M,30.0,2755221,577,593,12.17
M,44.0,7428394,359,271-272,35.88
M,32.0,5636493,695,630,37.15
M,36.0,8098865,560,039,14.05
F,34.0,2419612,553,012,6.65
M,26.0,5213764,028,098,14.4
M,28.0,4437547,343,440,20.47
M,33.0,2303006,059,453,21.6
M,33.0,5247275,359,399,4.33
F,28.0,6762025,273-274,492,16.53
F,36.0,4531539,530,464,27.9
M,36.0,5941349,040,303,15.62
M,44.0,2885374,476,462,11.1
F,33.0,4814885,083,093,32.92
M,26.0,3852431,071,271-272,33.05
M,25.0,5301429,121,560,11.02
M,56.0,5810098,325,628,12.63
F,33.0,8426744,308,349,9.57
M,26.0,5315122,244,545,20.35
M,43.0,2223949,348,309,5.77
M,29.0,5905476,711,190,7.65
M,50.0,3115532,036,044,7.4
M,33.0,7490741,593,627,9.12
M,28.0,4982039,227,270,30.78
F,38.0,4582086,503,555,17.28
M,27.0,6484786,384,177,20.73
M,39.0,4493128,163,147,7.43
M,43.0,4407805,309,327,30.03
F,26.0,2811321,234,001,16.12
M,19.0,7312036,052,015,10.77
M,32.0,3592102,369,369,16.2
M,39.0,3530268,461,013,17.35
