Genero,Edad,Bici,Estacion salida,Estacion llegada,Duracion viaje en minutos
M,32.0,5633102,197,521,25.15
M,47.0,2854784,661,398,9.0
M,29.0,5938469,402,449,30.55
M,45.0,3347325,007,111,20.87
F,20.0,8063216,385,365,10.8
F,40.0,4202610,001,053,14.32
M,34.0,3599859,106,034,29.83
M,25.0,2431260,064,302,15.98
F,41.0,2145159,570,584,7.5
M,47.0,8238123,249,548,14.38
F,26.0,2408334,212,242,10.53
F,46.0,3364023,270,496,19.72
M,28.0,6935027,595,603,7.3
M,20.0,7863921,679,366,10.43
M,27.0,6273916,030,034,33.03
F,27.0,2026359,474,466,9.82
M,37.0,6153696,430,441,5.82
M,48.0,6835763,318,596,6.32
F,22.0,7598766,037,077,7.8
M,37.0,4537544,282,594,7.58
F,25.0,6689269,028,075,11.62
M,56.0,7542111,291,281,11.47
M,30.0,5213764,533,495,7.33
M,18.0,8467136,219,208,9.63
M,42.0,7724735,279,167,9.88
M,56.0,6006126,055,096,37.52
M,29.0,2929420,113,140,6.88
F,44.0,2932879,066,078,5.65
M,33.0,2780997,125,136,8.42
F,25.0,6949630,016,107-108,19.02
O,21.0,7012370,614,625,9.6
F,30.0,3836327,056,154,36.0
M,38.0,4461562,297,277,4.15
M,22.0,3841558,475,483,4.93
M,25.0,6276521,582,580,3.08
O,37.0,3407079,464,460,8.35
M,55.0,5402813,294,595,2.13
M,23.0,6565923,052,007,16.4
M,29.0,7673213,575,132,9.87
M,32.0,7224165,246,483,9.13
M,31.0,5624267,401,347,16.45
M,23.0,5952114,174,199,24.92
F,27.0,7410467,143,167,15.9
F,34.0,7600042,271-272,551,10.4
M,27.0,7681166,105,592,17.77
F,40.0,5010426,080,182,26.32
M,20.0,4851325,090,087,11.52
F,19.0,8651879,675,384,8.33
F,27.0,5204102,341,707,23.6
M,26.0,8823171,548,014,19.78
M,39.0,5667803,110,004,18.27
M,23.0,4685103,635,633,2.8
M,49.0,7995525,327,013,26.83
M,46.0,8241598,090,029,15.48
M,34.0,7213606,288,178,8.8
M,27.0,6513600,044,076,6.35
F,30.0,3260551,032,066,12.5
F,29.0,4414223,179,051,9.03
M,38.0,3247186,292,402,15.97
M,25.0,2691103,302,170,10.1
M,41.0,8132904,422,427,6.7
F,27.0,7077712,416,037,31.02
M,28.0,4668984,180,302,8.83
M,27.0,7828601,495,206,26.25
M,29.0,5793542,134,158-159,14.25
F,20.0,7120009,170,099,35.87
M,22.0,8678518,510,248,17.25
M,21.0,2926962,107-108,253,21.78
M,34.0,7461650,024,211,12.92
M,38.0,4800215,328,020,23.3
M,37.0,8242711,169,038,12.02
M,25.0,8371114,192-193,237-238,4.03
M,51.0,3927332,604,685,38.93
F,27.0,6984470,137,034,6.1
M,22.0,3332939,032,031,8.12
M,29.0,6107478,061,447,5.37
M,23.0,8052862,006,174,11.87
M,37.0,8655557,078,075,1.52
F,25.0,2230373,548,550,4.67
M,41.0,8552648,156,064,5.83
F,35.0,8183386,180,175,3.3
M,19.0,4104832,164,120,21.13
M,48.0,5004304,555,266-267,4.55
M,25.0,6670897,250,510,16.43
F,29.0,6787709,043,020,10.23
M,28.0,5560834,041,010,4.92
M,34.0,7845712,106,119,16.2
M,24.0,6670962,432,427,2.9
M,34.0,7702525,038,106,18.77
M,39.0,5015755,158-159,594,12.13
M,42.0,8060162,170,047,15.35
O,23.0,2498368,632,645,6.28
F,20.0,7032915,310,023,30.23
F,38.0,8812554,032,006,8.4
F,24.0,2979979,106,271-272,22.93
M,28.0,5955638,578,136,12.73
M,21.0,4786000,489,481,5.6
M,35.0,7775711,562,138,5.1
M,38.0,2406536,075,157,5.4
M,31.0,8516676,042,112,12.45
M,34.0,5256409,217,481,9.62
M,35.0,2944684,459,179,24.63
M,29.0,8032963,146,146,13.82
F,30.0,5196415,046,139,8.82
M,40.0,5791868,608,612,6.82
M,30.0,2953701,337,325,3.87
M,33.0,5406905,485,482,6.87
M,40.0,3405461,029,075,20.5
M,38.0,6558316,192-193,555,23.83
M,29.0,2069011,485,555,23.73
M,24.0,3852498,203,202,2.17
M,39.0,8122533,137,172,27.18
M,30.0,8079618,032,047,5.25
M,45.0,8537367,206,053,31.02
M,49.0,2294676,563,126,7.5
F,29.0,7018070,096,096,36.8
M,34.0,3905643,099,092,14.7
M,31.0,7538267,394,179,36.42
M,30.0,3000502,027,043,12.6
M,51.0,5751284,452,315,19.87
M,27.0,7500283,301,028,22.35
F,33.0,3467875,656,691,22.57
M,38.0,4212627,209,212,22.55
M,20.0,7692643,502,497,2.43
M,26.0,2758274,064,036,5.32
F,36.0,7509482,685,164,28.2
M,46.0,5232459,014,086,9.52
M,54.0,5293808,232,232,39.38
M,34.0,4614095,259,566,15.97
M,24.0,5343660,394,394,2.12
M,25.0,5092572,679,663,37.37
M,25.0,4650792,208,485,26.72
M,37.0,3222163,059,543,17.4
M,32.0,3633203,609,611,4.2
F,49.0,5687124,076,072,11.65
F,28.0,2337509,373,323,7.6
M,27.0,4660502,218,212,1.28
F,28.0,7393614,251,003,20.52
M,22.0,6206304,450,498,14.22
M,32.0,5280110,208,271-272,25.58
M,26.0,6158471,666,437,5.67
F,24.0,2693570,038,134,8.43
F,36.0,6361679,573,560,9.68
M,33.0,4634176,235-236,075,23.3
F,25.0,6124788,683,675,9.85
M,27.0,3215845,653,323,16.9
F,22.0,2803039,589,595,8.63
M,25.0,5656483,582,139,22.38
M,49.0,6739114,010,107-108,4.45
M,50.0,5084520,217,030,13.95
M,31.0,7159080,557,590,9.67
F,21.0,4579603,012,111,6.53
M,37.0,8454571,192-193,239,5.2
F,21.0,2026359,150,073,14.92
M,26.0,6198477,082,174,24.93
F,34.0,4111936,136,578,11.32
M,48.0,2242238,196,133,26.07
F,28.0,4367074,571,580,16.5
F,36.0,5591110,291,173,13.05
F,23.0,8748535,035,031,7.37
F,32.0,4021499,284,070,8.45
M,34.0,2184661,615,598,7.1
F,29.0,6486534,010,265,6.33
M,26.0,4159448,375,440,12.2
M,20.0,5314554,042,033,8.53
M,30.0,6578975,120,096,17.3
M,38.0,7688716,660,374,12.8
F,49.0,3482064,178,068,6.23
M,53.0,8423337,076,389,22.8
M,29.0,5017173,465,555,18.32
M,28.0,3084290,056,299,20.23
M,29.0,4650792,020,505,33.55
F,37.0,6995658,160,233,17.82
F,29.0,4543872,107-108,118,4.4
F,48.0,5477849,370,432,26.53
F,41.0,7131790,038,038,18.17
F,22.0,3769155,485,547,14.67
M,34.0,3963550,553,041,13.38
M,39.0,5840202,684,675,11.45
F,19.0,6850275,138,142,12.47
M,28.0,5871207,158-159,151,3.85
M,35.0,5194329,347,354,3.42
M,26.0,2021087,149,077,13.92
M,37.0,3700259,622,599,9.92
F,27.0,2559953,056,140,8.33
F,19.0,3561859,105,105,2.43
M,38.0,5302732,011,085,19.65
M,25.0,2992014,047,565,11.9
M,38.0,6109169,588,610,12.17
M,45.0,7817067,136,134,3.1
M,22.0,4353108,085,158-159,16.8
F,39.0,2847242,020,001,6.37
F,37.0,7001522,115,030,3.42
F,26.0,2396778,036,234,18.0
M,23.0,3967940,555,495,7.2
M,35.0,4142261,214,466,11.28
M,25.0,6417943,141,047,10.1
M,41.0,5477849,425,392,9.25
M,24.0,3516812,285,065,32.73
M,27.0,3657889,018,021,12.6
M,16.0,3314291,441,701,8.43
M,26.0,7287501,604,603,2.32
M,36.0,7573033,599,281,13.2
M,41.0,5692256,075,056,9.93
M,30.0,6975015,002,249,12.58
M,18.0,8415200,563,141,7.35
M,51.0,3464799,317,316,5.6
M,27.0,5674296,107-108,120,5.7
F,31.0,6403109,253,476,13.68
F,24.0,4681607,548,555,5.25
M,46.0,2771673,354,363,7.33
F,23.0,7356199,414,360,8.57
M,50.0,2268589,121,008,4.58
M,34.0,4716692,244,242,6.25
M,35.0,5575063,450,555,3.33
M,38.0,7038011,252,031,9.2
M,36.0,8646887,576,581,14.25
M,32.0,2839413,549,545,6.53
M,24.0,2738631,053,061,5.37
M,27.0,4830337,611,276,19.02
M,29.0,2366169,087,547,15.32
F,24.0,6190292,412,316,16.07
M,34.0,2425569,247,540,25.2
M,30.0,8478414,204,024,34.53
M,40.0,8280224,059,481,25.12
M,53.0,7154636,672,680,4.82
M,33.0,5557657,304,452,26.52
M,27.0,5941455,548,514,28.12
F,44.0,7079023,255,183,10.33
M,26.0,7091465,114,115,5.13
M,34.0,8147597,005,005,15.95
M,50.0,2427409,337,366,10.07
F,30.0,7897705,624,611,9.2
F,24.0,4019410,533,495,6.18
M,47.0,7612336,027,260,35.62
M,27.0,7617871,142,056,4.83
M,41.0,7642291,347,352,7.25
M,48.0,4644217,245,198,17.37
M,42.0,4657367,084,038,11.87
M,40.0,7019086,034,032,6.7
M,31.0,2678068,014,186,19.28
M,39.0,3136686,470,100,30.6
M,28.0,5871249,003,015,8.47
M,37.0,8397085,663,694,8.32
M,39.0,5914775,175,292,6.47
M,27.0,5905476,553,539,8.87
M,20.0,8438061,146,053,9.52
M,29.0,6977201,329,320,12.65
F,46.0,5460761,683,291,22.88
M,27.0,6417943,605,297,12.18
F,29.0,6501944,564,131,8.28
M,51.0,5697222,597,292,9.2
M,28.0,7961527,449,107-108,18.47
M,18.0,2980480,224,484,18.15
M,41.0,6985394,117,033,7.88
M,45.0,2471332,392,674,13.67
O,40.0,5204821,273-274,031,10.68
M,39.0,7509482,078,180,6.18
M,49.0,6855530,003,052,9.98
M,26.0,4069464,389,672,7.83
F,24.0,8757841,191,185,6.5
F,33.0,5996020,139,133,7.07
F,28.0,6132666,140,119,8.32
M,26.0,5313648,541,048,33.9
M,24.0,2329894,548,548,25.83
F,35.0,6389621,372,366,9.12
M,24.0,2139665,175,138,18.57
M,43.0,8767121,043,140,13.35
M,37.0,8212276,242,036,29.68
F,33.0,8020794,635,608,13.27
F,41.0,7224793,023,055,20.57
M,19.0,8458028,142,566,12.8
F,25.0,7716855,038,592,26.92
M,28.0,6361679,331,327,26.68
M,35.0,6488852,211,005,17.87
M,37.0,2236883,618,320,10.8
F,25.0,8111619,541,499,9.03
F,25.0,5788229,242,023,23.32
M,32.0,7766348,491,503,7.6
M,31.0,7991797,468,014,13.45
M,43.0,3131430,028,017,24.37
M,24.0,2351062,495,017,18.22
F,21.0,4610713,420,302,17.63
F,33.0,8695306,477,470,6.3
M,26.0,4525275,497,482,9.97
M,22.0,2820272,256,255,2.48
M,38.0,2494664,067,146,4.22
F,23.0,2854065,194,271-272,22.42
M,32.0,2472819,510,508,4.07
F,22.0,5824347,548,041,13.35
M,33.0,8184541,211,221,30.22
M,57.0,2590677,139,134,2.88
M,22.0,4183216,072,223,13.42
F,29.0,8937120,154,271-272,23.55
F,27.0,3127792,284,284,11.55
M,35.0,8190845,079,351,15.97
M,24.0,3774742,476,519,12.2
M,37.0,7554058,076,067,35.38
M,28.0,2501187,041,087,8.82
M,40.0,8003667,536,123,21.08
M,23.0,7629231,064,449,6.23
M,34.0,4434825,578,074,9.07
F,34.0,3332624,280,598,9.93
M,37.0,3073947,299,430,16.82
M,34.0,7018799,107-108,027,13.4
F,33.0,4024717,331,310,4.22
M,46.0,6965420,129,107-108,11.08
M,26.0,8739930,048,118,12.18
M,27.0,8169302,045,051,12.75
M,35.0,7265382,421,432,10.63
M,33.0,3100773,039,080,15.97
M,28.0,4907945,447,129,7.35
M,35.0,3016474,135,141,5.15
M,30.0,6823843,472,522,24.75
F,24.0,8020364,304,304,15.65
F,30.0,8977407,548,539,7.92
M,29.0,8805970,062,064,7.77
M,26.0,2018075,686,697,5.1
M,26.0,6566236,059,137,10.85
F,31.0,3285947,546,553,4.15
M,41.0,5323241,192-193,226,5.77
M,30.0,3927332,596,604,8.68
M,28.0,6244552,560,039,10.38
M,34.0,2235810,477,211,5.18
M,25.0,4108676,103,115,12.65
M,31.0,4372744,514,459,24.72
M,33.0,3993862,037,161,11.72
M,36.0,5636832,282,089,37.53
M,43.0,3733599,325,151,15.38
M,27.0,5549712,253,505,33.2
M,51.0,6189724,664,663,19.48
F,30.0,8482960,467,052,27.32
M,27.0,5352059,135,128,3.65
F,24.0,2854065,068,059,3.77
M,56.0,7243488,563,136,6.25
M,27.0,4644266,172,257,27.62
M,20.0,8626061,594,227,33.15
F,30.0,5015896,054,128,5.92
M,53.0,6805923,257,495,9.78
M,43.0,7383862,086,014,8.07
M,24.0,3213766,014,271-272,20.17
M,22.0,2022192,500,548,9.35
M,39.0,7366776,305,134,17.9
M,36.0,8900367,056,011,8.53
M,26.0,3831997,072,076,4.98
M,30.0,3920469,174,183,3.88
F,28.0,7155500,356,419,12.8
F,35.0,5857859,354,172,18.72
M,32.0,5362470,179,192-193,30.98
F,45.0,8151425,489,474,5.0
F,24.0,6751176,340,694,19.8
M,53.0,5202809,190,711,8.45
M,26.0,5352059,228,266-267,23.8
M,25.0,5421441,165,290,8.72
F,30.0,3313871,230,021,18.8
F,36.0,5744107,004,188,21.23
M,27.0,6162556,174,006,9.83
F,48.0,6622831,077,329,31.93
M,31.0,4927166,031,001,8.53
M,31.0,4940334,001,061,33.3
M,37.0,3746161,552,541,8.47
F,24.0,4042917,513,520,13.53
M,50.0,5304647,208,463,12.82
M,41.0,7229172,012,450,6.28
M,41.0,4822722,260,095,19.58
M,21.0,7661002,022,018,5.3
M,27.0,5523022,310,016,19.88
M,26.0,7051410,475,494,7.63
F,35.0,5578877,019,014,7.9
F,34.0,2117323,047,007,15.35
M,31.0,7426992,175,287,6.33
F,40.0,5651419,100,137,20.55
M,36.0,8912842,012,018,10.13
M,32.0,7357379,302,292,6.2
F,47.0,2347516,137,064,26.23
M,41.0,6395594,064,149,7.3
M,19.0,5059605,168,131,12.65
M,34.0,6782890,196,229,10.33
M,32.0,7961642,347,390-391,6.4
F,19.0,6445993,600,613,4.78
F,31.0,5932520,105,127,27.32
F,29.0,7333529,209,204,30.32
M,18.0,3718053,141,141,35.9
M,24.0,6577621,325,326,6.6
M,43.0,8428948,392,371,5.7
M,38.0,7100795,637,610,12.78
F,24.0,7924806,222,463,11.98
M,38.0,4772182,150,282,6.87
M,49.0,4808895,430,441,13.55
F,24.0,2917599,208,196,4.75
F,56.0,7998396,294,049,13.52
F,24.0,3380250,594,603,10.15
M,29.0,5422134,626,340,4.75
M,28.0,8259194,384,175,24.65
M,26.0,4828208,575,130,12.78
F,31.0,6996326,049,192-193,17.83
F,28.0,5418256,579,583,5.37
F,25.0,4060380,594,300,24.17
M,32.0,8616807,660,656,5.95
F,41.0,8336364,074,560,29.1
M,36.0,6002281,003,014,8.07
M,32.0,8173411,051,153,9.82
F,45.0,4707402,455,260,34.77
M,39.0,6009187,031,027,1.9
M,26.0,3572799,455,055,33.55
M,33.0,2910149,033,083,14.45
M,38.0,3429669,385,363,8.92
M,31.0,7436421,703,692,9.72
M,35.0,5017793,150,079,8.5
M,29.0,6277164,300,134,16.88
F,39.0,8475519,492,205,13.42
M,35.0,5498340,194,223,15.5
F,49.0,2200087,033,498,22.58
M,35.0,7423007,696,645,13.25
F,29.0,7522154,126,144,16.87
M,40.0,4330668,309,381,9.57
M,35.0,4748398,233,209,9.2
F,33.0,8900367,047,046,3.1
M,19.0,8113052,646,556,38.33
M,42.0,5995204,174,041,10.37
M,40.0,4195095,295,302,14.55
F,27.0,3125481,310,312,2.87
M,33.0,5741616,372,341,8.03
F,53.0,3409828,034,207,23.9
M,31.0,6782924,059,195,30.22
M,33.0,6013536,090,106,3.98
M,20.0,2419612,082,447,24.8
M,45.0,4526281,031,115,3.08
M,43.0,7494503,636,440,19.32
M,52.0,2299105,568,123,5.58
M,29.0,8437683,428,631,12.93
O,38.0,3958980,179,150,7.92
M,27.0,6451991,449,032,32.97
M,27.0,6167209,183,045,15.17
M,48.0,7067671,636,610,19.22
F,40.0,7253339,532,523,8.03
M,26.0,8062481,526,526,7.3
M,29.0,8280224,481,529,15.17
M,40.0,6089387,038,172,15.97
M,33.0,5421706,245,465,5.35
F,31.0,5600184,356,395,6.5
F,37.0,6396162,073,053,3.67
F,32.0,4774816,474,548,20.07
M,33.0,5893169,310,323,13.17
M,35.0,5083266,188,190,5.87
M,40.0,3223823,336,259,23.22
M,36.0,2498608,359,635,11.27
F,34.0,3404928,031,006,4.68
F,27.0,4526976,137,031,7.63
M,55.0,2856227,684,704,16.17
M,33.0,3393550,598,339,12.87
F,31.0,7848369,362,371,4.4
M,31.0,2132561,594,592,5.53
M,53.0,8682320,485,082,14.65
M,31.0,7800352,386,358,13.02
M,55.0,4404612,624,399,10.8
F,24.0,2703528,175,064,27.98
M,37.0,8698292,017,250,11.6
M,24.0,7335375,149,162,7.03
O,29.0,4830337,064,452,17.68
O,25.0,3517471,263,017,10.53
M,32.0,6304729,688,686,4.8
M,38.0,7284276,074,014,10.4
M,39.0,3903572,044,079,17.15
F,38.0,5426200,441,302,23.53
M,40.0,2893568,528,495,9.7
M,40.0,7045149,086,273-274,6.2
M,34.0,8319675,064,081,3.82
F,50.0,7692320,172,038,18.75
M,32.0,5348347,031,271-272,8.27
F,33.0,7175284,316,296,12.33
M,41.0,8370728,458,197,7.22
F,29.0,8886426,068,045,4.78
M,27.0,3674447,530,522,6.05
F,37.0,5452651,030,077,17.68
M,27.0,5532924,245,447,14.55
M,26.0,8630519,599,180,19.75
F,30.0,7374705,672,675,8.22
M,22.0,3140514,345,693,24.63
M,37.0,3636123,106,559,31.68
M,21.0,2328193,082,122,7.15
M,35.0,2026359,068,033,8.63
M,46.0,3568862,420,291,12.27
F,44.0,7780612,178,077,29.92
F,29.0,4267613,328,043,36.08
F,37.0,6545479,155,161,7.15
M,39.0,3591211,242,216,15.92
F,28.0,6552988,071,282,10.92
O,36.0,7801020,287,083,8.7
M,46.0,7130065,425,604,25.38
F,54.0,2587988,147,038,11.15
M,26.0,6352561,070,070,5.28
M,41.0,2566289,600,402,15.65
O,27.0,2828515,317,340,5.55
M,45.0,5843412,476,466,7.05
M,31.0,7742927,616,614,3.7
M,25.0,5715487,217,548,19.92
F,23.0,4352571,543,546,4.8
M,45.0,4221982,099,096,3.17
M,24.0,8415218,466,493,10.63
M,47.0,4999611,674,428,18.92
M,23.0,8011108,056,536,21.77
F,25.0,4433892,254,254,9.15
F,28.0,6149074,028,027,4.95
M,21.0,5612692,328,325,15.05
M,49.0,7058670,675,667,4.45
M,57.0,2570661,262,470,25.88
M,34.0,6176796,119,112,4.22
F,22.0,4245155,038,033,8.78
M,29.0,7600604,057,192-193,17.7
F,41.0,2314664,151,053,15.08
F,24.0,8949539,139,015,24.85
F,20.0,5720172,568,584,5.85
M,26.0,6310353,047,166,14.87
M,30.0,6089403,056,106,21.68
M,30.0,6769590,334,351,10.88
F,28.0,5806476,286,036,16.98
M,26.0,5567706,259,552,5.03
F,28.0,2485811,562,019,12.57
O,39.0,8578353,484,485,3.18
F,24.0,6270391,163,165,8.35
F,34.0,8617995,628,317,12.87
F,36.0,4820759,051,038,5.07
M,38.0,7161920,004,009,22.62
M,41.0,7839913,018,111,9.75
M,26.0,2784072,670,626,32.7
M,29.0,8165045,709,442,13.53
M,57.0,5443106,061,161,10.28
F,29.0,5208806,190,453,19.7
M,54.0,7032915,505,478,9.48
M,29.0,7373400,321,294,8.13
F,28.0,7038011,601,469,36.6
M,28.0,5183173,280,291,12.03
M,33.0,3351855,106,550,36.35
F,22.0,2880938,060,075,28.12
M,31.0,4907945,463,477,11.93
M,29.0,4838769,047,226,18.75
F,33.0,7006331,197,544,24.12
M,56.0,2336295,260,217,37.38
F,27.0,6780118,578,163,6.05
F,23.0,5649975,459,242,13.67
M,35.0,5083753,374,374,3.42
M,30.0,5523022,098,117,7.25
M,29.0,4920872,278,012,39.3
F,23.0,3902475,561,082,12.3
F,29.0,4259339,251,206,20.7
M,48.0,7253339,594,119,11.95
M,33.0,6237259,493,192-193,25.53
M,33.0,7862469,510,513,8.45
M,25.0,5452651,362,277,31.13
M,22.0,7474455,029,477,23.2
M,28.0,7692221,207,245,5.32
F,34.0,8029852,475,205,5.88
M,38.0,3949385,139,299,13.53
M,35.0,3184173,622,281,12.08
M,24.0,7568736,197,544,22.23
F,27.0,5442330,021,029,17.65
F,34.0,4645834,432,633,19.53
M,29.0,6651277,259,542,9.13
M,27.0,3131091,242,229,13.83
M,25.0,3402732,235-236,004,20.13
M,30.0,4760252,492,533,8.52
M,37.0,3815552,389,369,5.55
M,28.0,3486214,457,239,16.43
F,27.0,3305174,020,142,9.12
M,24.0,4060315,511,517,3.13
M,18.0,8332827,606,571,13.47
M,55.0,5976196,557,574,17.47
M,42.0,4034955,050,026,17.25
M,38.0,5089420,069,075,4.33
M,36.0,3558012,337,394,7.52
M,23.0,3703261,065,027,20.85
M,48.0,5498696,291,001,20.47
F,45.0,8097214,244,206,8.48
F,25.0,4197588,140,283,35.35
F,22.0,4610713,043,270,16.97
F,26.0,3922747,684,693,12.87
M,42.0,4781670,047,047,20.15
M,34.0,3076726,064,080,4.23
M,26.0,4651899,129,175,26.0
M,27.0,3772787,111,034,7.98
M,50.0,3672193,186,044,10.75
M,26.0,5320205,054,142,5.6
M,17.0,5503115,067,188,12.33
M,39.0,6030860,457,035,25.8
M,30.0,7308067,011,066,21.23
M,23.0,4106449,014,031,9.97
M,20.0,4434825,202,205,11.22
M,35.0,7386923,315,315,31.73
O,28.0,2570661,036,192-193,14.47
M,43.0,7988512,047,018,8.67
F,36.0,6371603,208,207,4.1
M,31.0,4451175,112,192-193,27.25
M,37.0,3051208,180,290,19.2
M,27.0,4530713,007,615,23.53
M,28.0,7408941,169,182,2.18
M,41.0,5117957,627,626,1.6
M,29.0,5813241,336,370,7.72
M,42.0,3775616,377,425,7.88
M,35.0,2718344,604,610,3.38
M,26.0,7535610,641,605,21.87
M,25.0,2888261,130,117,5.67
M,40.0,3602208,031,038,27.45
M,25.0,7817786,081,352,23.5
F,30.0,4552782,204,198,17.38
F,48.0,5995253,256,111,4.67
M,28.0,5573761,085,115,5.13
M,29.0,8443871,321,006,25.9
M,28.0,3405461,207,533,26.13
F,31.0,5751284,711,209,21.05
M,24.0,8842098,457,112,26.75
F,28.0,5674551,507,510,8.73
F,29.0,8413213,059,045,4.3
M,50.0,3300829,082,265,11.82
M,30.0,5165105,005,504,18.55
M,30.0,2379345,495,495,16.65
F,29.0,2000776,207,030,22.17
M,24.0,4186763,555,020,8.95
M,43.0,2000776,017,497,16.72
M,24.0,7747843,495,548,12.48
M,30.0,8039380,188,640,31.35
M,32.0,3325347,459,175,27.17
M,22.0,5330964,011,011,17.7
M,57.0,4657581,169,184,12.45
M,35.0,4183471,624,621,9.87
F,33.0,8559726,191,333,33.37
F,26.0,3620739,301,084,7.8
M,26.0,2317873,300,302,1.7
M,33.0,2073567,232,205,6.58
M,26.0,4946638,115,260,6.9
M,20.0,8280935,131,123,7.75
M,28.0,7032055,384,669,5.27
F,44.0,3067105,625,621,6.52
M,24.0,6191514,389,040,22.83
M,55.0,7965247,162,276,6.98
F,29.0,2504827,432,416,22.47
M,27.0,5951546,017,266-267,14.48
M,27.0,2532778,030,262,18.05
M,50.0,6640668,136,277,38.08
M,32.0,3395530,468,471,4.67
M,34.0,5772975,061,032,8.32
M,35.0,6920680,226,005,15.28
M,31.0,7032055,027,095,31.08
M,30.0,2618791,548,019,10.35
M,32.0,2652121,290,432,23.07
F,32.0,5217351,372,395,4.27
M,21.0,6276521,492,490,3.5
M,44.0,4738001,121,107-108,10.18
F,27.0,7032055,030,061,15.68
F,41.0,4869145,489,207,11.57
M,21.0,5526363,387,365,30.62
M,23.0,7943814,141,025,14.93
M,33.0,6065163,384,639,20.13
M,31.0,7546344,009,132,17.02
F,28.0,4918280,546,303,33.1
F,36.0,3704368,571,036,22.75
M,23.0,2862027,465,271-272,15.55
M,21.0,4083333,389,676,37.58
M,33.0,4199014,632,064,26.35
M,26.0,6837314,300,084,30.47
M,25.0,2732196,449,003,39.2
M,29.0,2486710,051,257,10.67
F,44.0,4094124,030,001,10.88
F,32.0,3620739,068,022,16.75
F,20.0,3951357,389,385,4.57
F,57.0,8321952,232,273-274,30.95
M,39.0,2817906,290,326,5.35
M,33.0,7857584,590,093,29.53
M,29.0,3026085,390-391,290,10.15
M,49.0,7041031,099,027,17.63
M,26.0,4297552,263,022,15.25
M,39.0,3035078,432,163,22.53
M,26.0,5324736,066,151,14.52
M,44.0,3757929,233,197,11.43
F,21.0,6168140,114,560,7.58
M,45.0,2504827,632,395,11.28
M,20.0,5694096,067,537,38.8
M,26.0,4574380,145,017,10.98
M,26.0,4672184,034,107-108,12.58
F,27.0,6924450,393,341,16.77
F,33.0,6971519,007,013,4.42
M,23.0,6300222,096,121,8.62
M,36.0,6375307,445-446,441,6.42
M,35.0,7720675,544,555,6.88
M,27.0,3159753,266-267,259,3.03
F,29.0,8003600,508,201,22.82
M,30.0,2337509,028,021,4.25
M,48.0,8904112,123,566,8.65
F,30.0,7578677,046,043,19.92
F,45.0,6420301,026,116,32.65
F,34.0,6500573,533,271-272,15.0
M,41.0,4057907,306,303,1.63
M,35.0,8416158,068,061,5.85
M,25.0,8069007,423,392,12.93
M,52.0,2944833,610,331,33.6
F,30.0,3063260,302,606,24.37
M,45.0,7449614,632,378,12.93
M,21.0,8658304,432,427,2.23
M,27.0,4616637,548,545,3.65
M,51.0,2337962,280,401,16.83
M,23.0,4771028,494,254,4.88
F,35.0,8982647,014,320,31.53
M,33.0,6278360,347,142,14.18
F,44.0,5554902,262,048,13.9
M,34.0,6512834,068,024,12.97
F,47.0,6805923,381,045,26.65
M,20.0,8725301,222,260,28.22
F,33.0,7846041,097,052,13.98
M,51.0,5567607,684,390-391,15.03
M,36.0,7773401,014,010,16.07
F,32.0,3452497,169,150,8.08
M,39.0,7411499,593,593,8.88
M,23.0,5860846,232,171,21.15
M,49.0,4604476,174,265,6.55
M,52.0,7171820,054,251,15.33
M,26.0,4684098,154,316,12.22
M,28.0,7284979,482,468,6.88
M,50.0,6003537,004,007,4.8
F,33.0,7522154,490,134,27.67
M,37.0,4035184,660,692,5.32
F,31.0,5587761,153,043,29.88
M,39.0,5605845,166,144,23.92
M,29.0,7286347,218,469,13.7
M,22.0,4804209,061,142,5.0
M,54.0,2366169,340,322,3.55
M,39.0,8552648,473,463,12.08
F,33.0,5449848,669,386,3.85
M,24.0,5119219,165,592,13.67
M,53.0,3934429,079,189,8.22
M,38.0,5386628,156,150,17.37
F,31.0,8023210,014,271-272,21.02
M,27.0,7943822,086,470,14.73
M,24.0,8408668,502,500,3.1
F,26.0,5220132,161,158-159,15.68
M,23.0,5346341,062,077,6.98
M,33.0,8211344,184,067,9.83
M,32.0,4472890,177,217,30.63
M,26.0,5226568,184,027,16.7
M,45.0,7482862,023,007,2.88
M,31.0,2322824,657,025,39.22
F,29.0,8287385,642,640,3.17
F,38.0,8980864,606,588,4.63
M,24.0,3005691,069,014,7.75
M,42.0,7729288,221,211,9.17
M,33.0,7063076,093,010,11.27
M,32.0,6899264,031,069,14.37
M,31.0,2136075,047,039,8.08
F,31.0,2807733,377,369,10.65
M,42.0,7263205,183,048,14.7
M,26.0,3732849,565,571,10.15
M,22.0,6395933,025,029,9.92
F,31.0,8088551,141,058,9.82
M,28.0,8855926,308,334,4.32
M,24.0,7867302,029,594,19.62
M,33.0,2819563,140,042,13.25
M,28.0,4852232,384,329,20.25
M,49.0,7356801,276,618,32.53
M,53.0,5384128,412,584,19.9
M,43.0,8617680,390-391,665,11.35
M,28.0,8943250,432,398,6.92
M,25.0,2476950,291,129,17.48
M,47.0,7826639,445-446,642,3.95
M,32.0,7019086,175,045,7.93
M,36.0,7326853,044,204,14.02
F,31.0,2929420,082,097,7.28
F,40.0,8681694,563,129,9.57
M,25.0,8864076,514,531,17.48
M,34.0,8835753,017,014,4.25
M,25.0,8194003,099,099,5.0
