Estacion,genero_x_mes,edad_x_mes,duraciones_x_mes,dias_x_mes,horas_x_mes,viajes_x_mes,retiros_x_mes,arribos_x_mes
316,"{'M': 2898.66, 'F': 1168.0, 'O': 103.34}","{'<20': 22.5, '20-30': 1438.0, '30-40': 1603.67, '40-50': 759.5, '50-60': 237.0, '60-70': 82.5, '70<': 26.83}","{'0-10': 1533.17, '10-20': 1724.83, '20-30': 583.83, '30-45': 290.67, '45+': 37.5}","{'Monday': 639.67, 'Tuesday': 712.67, 'Wednesday': 750.5, 'Thursday': 746.5, 'Friday': 675.5, 'Saturday': 358.17, 'Sunday': 287.0}","{0: 25.17, 1: 0.17, 2: 0.0, 3: 0.0, 4: 0.0, 5: 18.5, 6: 75.83, 7: 162.33, 8: 478.83, 9: 403.17, 10: 244.33, 11: 212.5, 12: 197.33, 13: 226.67, 14: 283.5, 15: 303.33, 16: 228.83, 17: 248.5, 18: 291.5, 19: 279.17, 20: 205.67, 21: 133.5, 22: 97.33, 23: 53.83}","{'2024-10': 4049, '2024-11': 4766, '2024-12': 3817, '2025-1': 4109, '2025-2': 4181, '2025-3': 4098}",1112.83,1180.0
317,"{'M': 5133.5, 'F': 2009.84, 'O': 130.5}","{'<20': 95.0, '20-30': 2449.83, '30-40': 3054.83, '40-50': 1063.5, '50-60': 445.17, '60-70': 154.17, '70<': 11.33}","{'0-10': 2694.0, '10-20': 2908.5, '20-30': 1032.83, '30-45': 567.67, '45+': 70.83}","{'Monday': 1125.5, 'Tuesday': 1175.5, 'Wednesday': 1217.0, 'Thursday': 1280.83, 'Friday': 1205.67, 'Saturday': 673.0, 'Sunday': 596.33}","{0: 41.83, 1: 0.5, 2: 0.0, 3: 0.0, 4: 0.0, 5: 60.67, 6: 217.33, 7: 326.67, 8: 587.83, 9: 479.17, 10: 400.33, 11: 375.67, 12: 385.0, 13: 452.0, 14: 463.17, 15: 477.5, 16: 431.5, 17: 508.5, 18: 577.17, 19: 485.83, 20: 352.17, 21: 305.5, 22: 194.83, 23: 150.67}","{'2024-10': 8168, '2024-11': 7860, '2024-12': 6446, '2025-1': 7455, '2025-2': 6814, '2025-3': 6900}",2326.5,2515.83
318,"{'M': 2328.5, 'F': 1031.16, 'O': 54.5}","{'<20': 46.83, '20-30': 1342.5, '30-40': 1345.33, '40-50': 417.0, '50-60': 180.5, '60-70': 71.83, '70<': 10.17}","{'0-10': 1543.83, '10-20': 1197.5, '20-30': 401.0, '30-45': 242.0, '45+': 29.83}","{'Monday': 529.0, 'Tuesday': 566.5, 'Wednesday': 554.17, 'Thursday': 582.0, 'Friday': 567.17, 'Saturday': 340.83, 'Sunday': 274.5}","{0: 14.83, 1: 0.33, 2: 0.0, 3: 0.0, 4: 0.0, 5: 20.5, 6: 122.17, 7: 267.0, 8: 260.33, 9: 180.83, 10: 169.67, 11: 172.83, 12: 169.5, 13: 189.5, 14: 240.67, 15: 246.0, 16: 197.33, 17: 236.17, 18: 258.5, 19: 223.33, 20: 152.67, 21: 130.0, 22: 95.83, 23: 66.17}","{'2024-10': 4064, '2024-11': 3684, '2024-12': 3228, '2025-1': 3273, '2025-2': 2951, '2025-3': 3285}",1168.5,1188.5
319,"{'M': 2459.67, 'F': 1080.17, 'O': 58.67}","{'<20': 71.5, '20-30': 1084.0, '30-40': 1559.33, '40-50': 557.83, '50-60': 252.5, '60-70': 64.5, '70<': 8.83}","{'0-10': 1618.33, '10-20': 1260.33, '20-30': 453.33, '30-45': 235.83, '45+': 30.67}","{'Monday': 540.33, 'Tuesday': 544.0, 'Wednesday': 575.33, 'Thursday': 583.0, 'Friday': 578.67, 'Saturday': 414.83, 'Sunday': 362.33}","{0: 19.0, 1: 0.0, 2: 0.17, 3: 0.0, 4: 0.0, 5: 23.33, 6: 66.33, 7: 109.0, 8: 160.0, 9: 167.33, 10: 183.67, 11: 206.0, 12: 213.67, 13: 221.0, 14: 251.0, 15: 264.17, 16: 235.33, 17: 270.0, 18: 335.83, 19: 299.83, 20: 244.33, 21: 161.67, 22: 99.5, 23: 67.33}","{'2024-10': 3828, '2024-11': 3811, '2024-12': 3356, '2025-1': 3875, '2025-2': 3375, '2025-3': 3346}",1345.0,1292.83
320,"{'M': 2768.0, 'F': 1315.16, 'O': 136.67}","{'<20': 22.0, '20-30': 1461.0, '30-40': 1643.0, '40-50': 703.17, '50-60': 359.33, '60-70': 22.5, '70<': 8.83}","{'0-10': 1834.5, '10-20': 1559.17, '20-30': 546.83, '30-45': 246.83, '45+': 32.5}","{'Monday': 616.17, 'Tuesday': 695.83, 'Wednesday': 683.83, 'Thursday': 702.17, 'Friday': 656.67, 'Saturday': 468.33, 'Sunday': 396.83}","{0: 36.33, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 33.17, 6: 132.0, 7: 193.67, 8: 198.83, 9: 178.83, 10: 187.5, 11: 189.17, 12: 187.17, 13: 226.5, 14: 275.5, 15: 311.83, 16: 286.17, 17: 347.67, 18: 416.67, 19: 331.0, 20: 262.33, 21: 208.83, 22: 146.33, 23: 70.33}","{'2024-10': 4215, '2024-11': 4340, '2024-12': 3924, '2025-1': 4067, '2025-2': 4287, '2025-3': 4486}",1261.33,1242.33
321,"{'M': 2566.5, 'F': 1186.0, 'O': 106.67}","{'<20': 34.5, '20-30': 1234.0, '30-40': 1602.33, '40-50': 703.67, '50-60': 207.0, '60-70': 60.0, '70<': 17.67}","{'0-10': 1544.83, '10-20': 1496.33, '20-30': 537.5, '30-45': 243.67, '45+': 36.83}","{'Monday': 538.67, 'Tuesday': 594.0, 'Wednesday': 561.17, 'Thursday': 610.33, 'Friday': 627.0, 'Saturday': 486.33, 'Sunday': 441.67}","{0: 24.17, 1: 1.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 22.0, 6: 68.5, 7: 169.5, 8: 239.67, 9: 175.17, 10: 186.17, 11: 206.5, 12: 238.83, 13: 276.0, 14: 294.0, 15: 326.67, 16: 264.33, 17: 278.67, 18: 284.0, 19: 257.67, 20: 200.17, 21: 157.33, 22: 109.0, 23: 79.83}","{'2024-10': 4050, '2024-11': 4034, '2024-12': 3667, '2025-1': 4030, '2025-2': 3475, '2025-3': 3899}",1654.83,1924.17
322,"{'M': 1603.66, 'F': 721.84, 'O': 74.5}","{'<20': 68.67, '20-30': 726.5, '30-40': 927.83, '40-50': 388.5, '50-60': 247.83, '60-70': 34.67, '70<': 6.0}","{'0-10': 923.67, '10-20': 956.5, '20-30': 322.33, '30-45': 171.67, '45+': 25.83}","{'Monday': 351.5, 'Tuesday': 415.0, 'Wednesday': 407.67, 'Thursday': 411.17, 'Friday': 359.33, 'Saturday': 240.83, 'Sunday': 214.5}","{0: 19.67, 1: 0.17, 2: 0.0, 3: 0.17, 4: 0.0, 5: 9.5, 6: 78.5, 7: 126.67, 8: 151.5, 9: 111.0, 10: 92.83, 11: 104.5, 12: 108.83, 13: 180.0, 14: 188.67, 15: 167.0, 16: 150.5, 17: 141.0, 18: 182.0, 19: 166.5, 20: 159.67, 21: 120.33, 22: 81.67, 23: 59.33}","{'2024-10': 2908, '2024-11': 2513, '2024-12': 1977, '2025-1': 2364, '2025-2': 2164, '2025-3': 2474}",6126.67,6479.17
323,"{'M': 3494.5, 'F': 1496.16, 'O': 139.67}","{'<20': 73.33, '20-30': 1921.83, '30-40': 2073.67, '40-50': 695.0, '50-60': 286.5, '60-70': 75.5, '70<': 4.5}","{'0-10': 2000.67, '10-20': 1787.0, '20-30': 759.5, '30-45': 520.17, '45+': 63.0}","{'Monday': 767.67, 'Tuesday': 851.67, 'Wednesday': 863.17, 'Thursday': 824.5, 'Friday': 772.67, 'Saturday': 514.17, 'Sunday': 536.5}","{0: 25.5, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 25.83, 6: 124.67, 7: 150.67, 8: 326.0, 9: 364.0, 10: 314.17, 11: 288.5, 12: 301.17, 13: 321.67, 14: 323.67, 15: 299.33, 16: 337.83, 17: 388.33, 18: 436.0, 19: 377.33, 20: 287.0, 21: 210.5, 22: 144.17, 23: 84.0}","{'2024-10': 5548, '2024-11': 5238, '2024-12': 4782, '2025-1': 5296, '2025-2': 4780, '2025-3': 5138}",2214.0,2266.83
324,"{'M': 2453.33, 'F': 937.33, 'O': 77.83}","{'<20': 22.17, '20-30': 1186.5, '30-40': 1484.17, '40-50': 568.5, '50-60': 163.5, '60-70': 34.33, '70<': 9.33}","{'0-10': 1575.0, '10-20': 1228.67, '20-30': 413.83, '30-45': 224.0, '45+': 27.0}","{'Monday': 546.0, 'Tuesday': 575.0, 'Wednesday': 576.0, 'Thursday': 585.17, 'Friday': 582.0, 'Saturday': 346.0, 'Sunday': 258.33}","{0: 16.33, 1: 0.17, 2: 0.0, 3: 0.0, 4: 0.0, 5: 27.83, 6: 58.5, 7: 148.5, 8: 335.17, 9: 233.33, 10: 174.33, 11: 164.0, 12: 151.67, 13: 166.17, 14: 189.67, 15: 218.67, 16: 234.5, 17: 285.5, 18: 285.83, 19: 290.33, 20: 205.0, 21: 143.5, 22: 92.5, 23: 47.0}","{'2024-10': 3929, '2024-11': 3585, '2024-12': 3194, '2025-1': 3390, '2025-2': 3218, '2025-3': 3495}",2207.83,2047.17
325,"{'M': 2683.5, 'F': 1302.66, 'O': 76.33}","{'<20': 24.83, '20-30': 1193.5, '30-40': 1798.83, '40-50': 683.5, '50-60': 301.83, '60-70': 57.17, '70<': 2.83}","{'0-10': 1635.0, '10-20': 1629.67, '20-30': 506.33, '30-45': 258.67, '45+': 32.83}","{'Monday': 622.17, 'Tuesday': 687.0, 'Wednesday': 699.5, 'Thursday': 703.67, 'Friday': 663.67, 'Saturday': 412.67, 'Sunday': 273.83}","{0: 21.0, 1: 0.5, 2: 0.0, 3: 0.0, 4: 0.0, 5: 13.0, 6: 102.17, 7: 203.0, 8: 275.83, 9: 275.17, 10: 208.67, 11: 233.67, 12: 240.67, 13: 295.5, 14: 297.67, 15: 257.17, 16: 222.33, 17: 286.67, 18: 336.0, 19: 297.33, 20: 177.5, 21: 158.5, 22: 90.0, 23: 70.17}","{'2024-10': 4662, '2024-11': 4376, '2024-12': 3782, '2025-1': 4048, '2025-2': 3738, '2025-3': 3769}",2249.83,2242.67
326,"{'M': 4091.17, 'F': 1466.16, 'O': 89.67}","{'<20': 58.67, '20-30': 1957.67, '30-40': 2379.33, '40-50': 856.67, '50-60': 279.17, '60-70': 92.33, '70<': 23.17}","{'0-10': 2283.67, '10-20': 1900.67, '20-30': 904.17, '30-45': 510.0, '45+': 48.5}","{'Monday': 856.5, 'Tuesday': 994.83, 'Wednesday': 999.33, 'Thursday': 1039.0, 'Friday': 942.0, 'Saturday': 465.83, 'Sunday': 349.5}","{0: 23.33, 1: 0.17, 2: 0.0, 3: 0.0, 4: 0.0, 5: 41.0, 6: 77.0, 7: 259.67, 8: 737.0, 9: 387.17, 10: 253.0, 11: 255.0, 12: 294.33, 13: 363.83, 14: 476.5, 15: 446.67, 16: 374.33, 17: 374.17, 18: 412.33, 19: 282.83, 20: 211.67, 21: 163.0, 22: 128.33, 23: 85.67}","{'2024-10': 6998, '2024-11': 5932, '2024-12': 4861, '2025-1': 5408, '2025-2': 5169, '2025-3': 5514}",1233.83,945.67
327,"{'M': 3475.84, 'F': 1460.67, 'O': 79.83}","{'<20': 53.17, '20-30': 1531.17, '30-40': 2168.17, '40-50': 791.83, '50-60': 351.17, '60-70': 88.83, '70<': 32.0}","{'0-10': 2343.17, '10-20': 1526.33, '20-30': 680.83, '30-45': 414.83, '45+': 51.17}","{'Monday': 763.0, 'Tuesday': 809.67, 'Wednesday': 824.0, 'Thursday': 833.67, 'Friday': 810.33, 'Saturday': 546.83, 'Sunday': 428.83}","{0: 21.0, 1: 0.5, 2: 0.17, 3: 0.17, 4: 0.0, 5: 18.5, 6: 73.33, 7: 146.0, 8: 377.5, 9: 486.33, 10: 301.17, 11: 263.17, 12: 244.33, 13: 287.67, 14: 396.5, 15: 378.83, 16: 318.17, 17: 333.17, 18: 380.5, 19: 320.17, 20: 269.33, 21: 184.83, 22: 133.5, 23: 81.5}","{'2024-10': 5832, '2024-11': 5195, '2024-12': 4754, '2025-1': 5078, '2025-2': 4636, '2025-3': 4603}",2568.5,2797.67
328,"{'M': 2857.5, 'F': 1129.84, 'O': 96.84}","{'<20': 53.17, '20-30': 1572.33, '30-40': 1656.67, '40-50': 548.5, '50-60': 173.17, '60-70': 72.67, '70<': 7.67}","{'0-10': 1555.67, '10-20': 1398.5, '20-30': 709.17, '30-45': 371.17, '45+': 49.67}","{'Monday': 617.67, 'Tuesday': 694.17, 'Wednesday': 718.67, 'Thursday': 682.33, 'Friday': 665.67, 'Saturday': 394.5, 'Sunday': 311.17}","{0: 30.83, 1: 0.5, 2: 0.0, 3: 0.0, 4: 0.0, 5: 36.17, 6: 97.17, 7: 204.33, 8: 303.83, 9: 242.33, 10: 197.0, 11: 180.67, 12: 154.5, 13: 230.83, 14: 254.67, 15: 236.0, 16: 228.33, 17: 269.33, 18: 419.0, 19: 353.0, 20: 258.5, 21: 166.5, 22: 132.0, 23: 88.67}","{'2024-10': 4669, '2024-11': 4216, '2024-12': 3648, '2025-1': 4091, '2025-2': 3846, '2025-3': 4035}",10643.5,10660.33
329,"{'M': 3696.0, 'F': 1271.5, 'O': 130.16}","{'<20': 72.17, '20-30': 1993.5, '30-40': 1943.67, '40-50': 699.83, '50-60': 301.33, '60-70': 60.17, '70<': 27.0}","{'0-10': 2303.67, '10-20': 1603.33, '20-30': 741.33, '30-45': 404.33, '45+': 45.0}","{'Monday': 827.67, 'Tuesday': 875.5, 'Wednesday': 902.17, 'Thursday': 906.0, 'Friday': 798.67, 'Saturday': 427.5, 'Sunday': 360.17}","{0: 26.67, 1: 0.83, 2: 0.0, 3: 0.0, 4: 0.17, 5: 55.83, 6: 193.5, 7: 417.33, 8: 472.67, 9: 255.17, 10: 218.0, 11: 189.67, 12: 185.33, 13: 250.33, 14: 269.0, 15: 284.83, 16: 248.0, 17: 368.83, 18: 534.17, 19: 419.33, 20: 304.83, 21: 212.83, 22: 116.5, 23: 73.83}","{'2024-10': 5941, '2024-11': 5500, '2024-12': 4763, '2025-1': 4863, '2025-2': 4707, '2025-3': 4812}",2400.67,2019.17
330,"{'M': 1297.67, 'F': 507.17, 'O': 25.16}","{'<20': 28.5, '20-30': 554.17, '30-40': 755.17, '40-50': 324.33, '50-60': 132.67, '60-70': 30.83, '70<': 4.33}","{'0-10': 734.0, '10-20': 569.0, '20-30': 263.0, '30-45': 233.83, '45+': 30.17}","{'Monday': 246.5, 'Tuesday': 282.83, 'Wednesday': 281.5, 'Thursday': 283.33, 'Friday': 275.67, 'Saturday': 179.33, 'Sunday': 280.83}","{0: 7.17, 1: 0.33, 2: 0.0, 3: 0.17, 4: 0.0, 5: 11.67, 6: 63.0, 7: 116.17, 8: 165.17, 9: 118.67, 10: 174.67, 11: 125.0, 12: 123.67, 13: 131.67, 14: 124.67, 15: 116.83, 16: 90.33, 17: 92.33, 18: 108.67, 19: 99.33, 20: 64.67, 21: 49.17, 22: 30.33, 23: 16.33}","{'2024-10': 2309, '2024-11': 2078, '2024-12': 1664, '2025-1': 1695, '2025-2': 1621, '2025-3': 1613}",2404.17,2476.83
331,"{'M': 2550.16, 'F': 841.5, 'O': 68.83}","{'<20': 50.0, '20-30': 1204.83, '30-40': 1429.0, '40-50': 435.5, '50-60': 262.5, '60-70': 74.5, '70<': 4.17}","{'0-10': 1177.17, '10-20': 1197.0, '20-30': 644.33, '30-45': 389.0, '45+': 53.0}","{'Monday': 537.17, 'Tuesday': 553.17, 'Wednesday': 562.33, 'Thursday': 563.67, 'Friday': 553.17, 'Saturday': 360.0, 'Sunday': 331.0}","{0: 18.83, 1: 0.33, 2: 0.0, 3: 0.0, 4: 0.0, 5: 24.0, 6: 90.67, 7: 163.67, 8: 283.5, 9: 196.5, 10: 156.0, 11: 148.5, 12: 160.33, 13: 173.17, 14: 212.83, 15: 221.5, 16: 217.5, 17: 231.67, 18: 307.5, 19: 266.67, 20: 196.0, 21: 174.5, 22: 143.33, 23: 73.5}","{'2024-10': 3813, '2024-11': 3593, '2024-12': 3344, '2025-1': 3485, '2025-2': 3238, '2025-3': 3290}",3383.5,3433.17
332,"{'M': 1328.66, 'F': 622.66, 'O': 42.17}","{'<20': 22.5, '20-30': 650.83, '30-40': 834.67, '40-50': 324.83, '50-60': 104.67, '60-70': 52.83, '70<': 3.17}","{'0-10': 785.33, '10-20': 617.5, '20-30': 360.83, '30-45': 207.17, '45+': 22.67}","{'Monday': 292.0, 'Tuesday': 340.0, 'Wednesday': 347.0, 'Thursday': 315.33, 'Friday': 310.17, 'Saturday': 209.67, 'Sunday': 179.33}","{0: 13.17, 1: 1.17, 2: 0.0, 3: 0.0, 4: 0.0, 5: 3.5, 6: 68.83, 7: 168.0, 8: 164.5, 9: 75.0, 10: 80.0, 11: 90.17, 12: 109.83, 13: 104.5, 14: 132.33, 15: 120.67, 16: 110.5, 17: 153.0, 18: 197.0, 19: 138.33, 20: 105.33, 21: 70.83, 22: 45.67, 23: 41.17}","{'2024-10': 2439, '2024-11': 2309, '2024-12': 1834, '2025-1': 1968, '2025-2': 1789, '2025-3': 1622}",1504.33,1575.17
333,"{'M': 1603.5, 'F': 521.17, 'O': 54.83}","{'<20': 25.0, '20-30': 609.5, '30-40': 952.0, '40-50': 399.67, '50-60': 149.33, '60-70': 29.5, '70<': 14.5}","{'0-10': 951.17, '10-20': 704.83, '20-30': 304.67, '30-45': 198.33, '45+': 20.5}","{'Monday': 364.17, 'Tuesday': 369.17, 'Wednesday': 380.33, 'Thursday': 351.83, 'Friday': 357.33, 'Saturday': 187.83, 'Sunday': 168.83}","{0: 10.5, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 7.33, 6: 38.17, 7: 126.0, 8: 156.67, 9: 146.5, 10: 133.0, 11: 113.17, 12: 109.33, 13: 149.67, 14: 175.33, 15: 152.67, 16: 135.33, 17: 153.33, 18: 188.83, 19: 130.17, 20: 91.17, 21: 78.0, 22: 50.67, 23: 33.67}","{'2024-10': 2579, '2024-11': 2306, '2024-12': 2126, '2025-1': 2109, '2025-2': 2086, '2025-3': 1871}",3888.0,4084.17
334,"{'M': 3468.83, 'F': 1317.67, 'O': 102.5}","{'<20': 28.0, '20-30': 1852.17, '30-40': 1928.0, '40-50': 708.67, '50-60': 264.67, '60-70': 97.83, '70<': 9.67}","{'0-10': 1998.67, '10-20': 1679.33, '20-30': 735.17, '30-45': 431.0, '45+': 44.83}","{'Monday': 777.33, 'Tuesday': 818.83, 'Wednesday': 836.5, 'Thursday': 863.33, 'Friday': 832.17, 'Saturday': 437.0, 'Sunday': 323.83}","{0: 18.17, 1: 0.17, 2: 0.0, 3: 0.0, 4: 0.0, 5: 28.5, 6: 134.5, 7: 278.67, 8: 529.17, 9: 381.17, 10: 226.5, 11: 209.83, 12: 221.83, 13: 273.83, 14: 365.83, 15: 315.5, 16: 335.33, 17: 321.0, 18: 420.33, 19: 292.67, 20: 185.5, 21: 158.17, 22: 122.67, 23: 69.67}","{'2024-10': 5521, '2024-11': 5295, '2024-12': 4373, '2025-1': 4696, '2025-2': 4796, '2025-3': 4653}",3560.83,3553.67
335,"{'M': 2072.17, 'F': 859.0, 'O': 59.0}","{'<20': 36.17, '20-30': 1034.17, '30-40': 1207.0, '40-50': 495.0, '50-60': 154.17, '60-70': 54.5, '70<': 9.17}","{'0-10': 1091.83, '10-20': 1127.5, '20-30': 466.83, '30-45': 272.0, '45+': 32.0}","{'Monday': 481.17, 'Tuesday': 505.5, 'Wednesday': 515.17, 'Thursday': 534.17, 'Friday': 502.67, 'Saturday': 257.5, 'Sunday': 194.0}","{0: 14.5, 1: 0.33, 2: 0.0, 3: 0.0, 4: 0.0, 5: 5.17, 6: 57.0, 7: 120.17, 8: 222.33, 9: 276.0, 10: 171.67, 11: 127.0, 12: 143.17, 13: 148.0, 14: 253.5, 15: 266.17, 16: 235.0, 17: 249.33, 18: 265.67, 19: 148.0, 20: 115.17, 21: 81.17, 22: 56.5, 23: 34.33}","{'2024-10': 3672, '2024-11': 3421, '2024-12': 2853, '2025-1': 2770, '2025-2': 2557, '2025-3': 2668}",1455.5,1380.67
336,"{'M': 2338.16, 'F': 920.84, 'O': 101.17}","{'<20': 29.5, '20-30': 1046.67, '30-40': 1306.33, '40-50': 557.83, '50-60': 300.33, '60-70': 116.33, '70<': 3.33}","{'0-10': 1333.0, '10-20': 1391.0, '20-30': 427.17, '30-45': 186.17, '45+': 23.0}","{'Monday': 575.5, 'Tuesday': 560.0, 'Wednesday': 596.83, 'Thursday': 570.0, 'Friday': 535.83, 'Saturday': 311.67, 'Sunday': 210.5}","{0: 15.5, 1: 0.33, 2: 0.0, 3: 0.0, 4: 0.17, 5: 12.67, 6: 61.33, 7: 204.67, 8: 295.67, 9: 305.83, 10: 211.33, 11: 155.83, 12: 154.67, 13: 193.0, 14: 196.5, 15: 206.67, 16: 197.0, 17: 212.33, 18: 266.83, 19: 253.0, 20: 152.83, 21: 141.5, 22: 74.67, 23: 48.0}","{'2024-10': 3631, '2024-11': 3659, '2024-12': 3134, '2025-1': 3348, '2025-2': 3102, '2025-3': 3288}",1836.67,1802.33
337,"{'M': 2930.17, 'F': 1422.0, 'O': 163.84}","{'<20': 118.83, '20-30': 1378.67, '30-40': 1809.5, '40-50': 696.0, '50-60': 334.17, '60-70': 143.17, '70<': 35.67}","{'0-10': 1867.0, '10-20': 1689.67, '20-30': 622.5, '30-45': 306.5, '45+': 30.33}","{'Monday': 729.0, 'Tuesday': 755.33, 'Wednesday': 770.67, 'Thursday': 792.83, 'Friday': 733.33, 'Saturday': 399.83, 'Sunday': 335.0}","{0: 24.5, 1: 0.83, 2: 0.0, 3: 0.0, 4: 0.17, 5: 15.33, 6: 117.0, 7: 241.83, 8: 236.0, 9: 223.17, 10: 210.33, 11: 226.17, 12: 218.5, 13: 324.83, 14: 375.17, 15: 361.17, 16: 312.33, 17: 308.33, 18: 378.83, 19: 337.33, 20: 260.67, 21: 182.17, 22: 91.5, 23: 69.83}","{'2024-10': 5101, '2024-11': 4506, '2024-12': 3910, '2025-1': 4501, '2025-2': 4520, '2025-3': 4558}",1697.33,1663.0
338,"{'M': 2848.0, 'F': 1336.5, 'O': 52.0}","{'<20': 48.0, '20-30': 1438.0, '30-40': 1372.67, '40-50': 884.83, '50-60': 383.67, '60-70': 76.83, '70<': 32.67}","{'0-10': 1870.5, '10-20': 1636.33, '20-30': 483.17, '30-45': 221.33, '45+': 25.33}","{'Monday': 684.5, 'Tuesday': 751.0, 'Wednesday': 752.5, 'Thursday': 757.83, 'Friday': 722.33, 'Saturday': 317.0, 'Sunday': 251.5}","{0: 12.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 17.0, 6: 89.83, 7: 358.0, 8: 417.17, 9: 270.83, 10: 246.33, 11: 230.0, 12: 242.0, 13: 276.17, 14: 336.83, 15: 262.33, 16: 259.33, 17: 296.17, 18: 315.0, 19: 234.67, 20: 152.33, 21: 101.17, 22: 68.33, 23: 51.17}","{'2024-10': 4556, '2024-11': 4556, '2024-12': 3660, '2025-1': 4023, '2025-2': 4239, '2025-3': 4386}",2091.17,2083.33
339,"{'M': 1435.5, 'F': 648.5, 'O': 48.34}","{'<20': 16.5, '20-30': 766.83, '30-40': 934.17, '40-50': 260.83, '50-60': 107.17, '60-70': 45.83, '70<': 1.0}","{'0-10': 880.33, '10-20': 801.83, '20-30': 280.33, '30-45': 152.33, '45+': 17.5}","{'Monday': 289.5, 'Tuesday': 344.17, 'Wednesday': 362.5, 'Thursday': 346.0, 'Friday': 348.67, 'Saturday': 240.67, 'Sunday': 200.83}","{0: 15.33, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 5.67, 6: 41.0, 7: 79.5, 8: 125.67, 9: 172.33, 10: 117.33, 11: 101.33, 12: 113.5, 13: 134.17, 14: 141.0, 15: 140.17, 16: 146.0, 17: 189.0, 18: 189.17, 19: 138.83, 20: 98.0, 21: 79.5, 22: 68.5, 23: 36.33}","{'2024-10': 2224, '2024-11': 2261, '2024-12': 2102, '2025-1': 2176, '2025-2': 1916, '2025-3': 2115}",2700.0,2618.17
340,"{'M': 4476.34, 'F': 1863.33, 'O': 187.5}","{'<20': 87.67, '20-30': 2415.67, '30-40': 2737.17, '40-50': 839.83, '50-60': 344.83, '60-70': 96.5, '70<': 5.5}","{'0-10': 3550.33, '10-20': 2025.67, '20-30': 595.67, '30-45': 318.83, '45+': 36.67}","{'Monday': 970.33, 'Tuesday': 1073.0, 'Wednesday': 1051.83, 'Thursday': 1114.33, 'Friday': 1067.33, 'Saturday': 721.5, 'Sunday': 528.83}","{0: 32.33, 1: 0.17, 2: 0.0, 3: 0.0, 4: 0.0, 5: 55.0, 6: 254.0, 7: 438.17, 8: 535.5, 9: 360.0, 10: 253.17, 11: 255.0, 12: 324.0, 13: 359.83, 14: 386.17, 15: 426.33, 16: 456.67, 17: 456.67, 18: 565.83, 19: 478.33, 20: 390.5, 21: 247.33, 22: 156.0, 23: 96.17}","{'2024-10': 7581, '2024-11': 7001, '2024-12': 5675, '2025-1': 6352, '2025-2': 6112, '2025-3': 6442}",1193.17,1208.0
341,"{'M': 2106.17, 'F': 987.83, 'O': 66.17}","{'<20': 35.0, '20-30': 1097.17, '30-40': 1294.33, '40-50': 463.17, '50-60': 205.17, '60-70': 60.5, '70<': 4.83}","{'0-10': 1351.33, '10-20': 1107.83, '20-30': 433.33, '30-45': 243.0, '45+': 24.67}","{'Monday': 466.0, 'Tuesday': 491.33, 'Wednesday': 486.0, 'Thursday': 507.5, 'Friday': 498.83, 'Saturday': 396.17, 'Sunday': 314.33}","{0: 22.0, 1: 0.17, 2: 0.0, 3: 0.0, 4: 0.0, 5: 35.83, 6: 81.33, 7: 156.17, 8: 158.17, 9: 126.5, 10: 153.0, 11: 148.5, 12: 179.67, 13: 196.17, 14: 236.17, 15: 207.67, 16: 221.33, 17: 214.33, 18: 255.67, 19: 249.17, 20: 217.5, 21: 151.5, 22: 94.17, 23: 55.17}","{'2024-10': 3428, '2024-11': 3330, '2024-12': 2835, '2025-1': 3215, '2025-2': 3003, '2025-3': 3150}",8152.33,8123.83
342,"{'M': 1239.67, 'F': 611.34, 'O': 60.83}","{'<20': 18.33, '20-30': 633.67, '30-40': 768.5, '40-50': 318.0, '50-60': 93.83, '60-70': 65.33, '70<': 14.17}","{'0-10': 655.5, '10-20': 757.0, '20-30': 297.83, '30-45': 181.17, '45+': 20.33}","{'Monday': 286.67, 'Tuesday': 313.83, 'Wednesday': 303.17, 'Thursday': 308.83, 'Friday': 306.0, 'Saturday': 196.83, 'Sunday': 196.5}","{0: 11.5, 1: 0.83, 2: 0.0, 3: 0.0, 4: 0.0, 5: 14.5, 6: 51.0, 7: 83.33, 8: 118.17, 9: 128.0, 10: 108.83, 11: 107.83, 12: 113.5, 13: 106.5, 14: 124.33, 15: 150.0, 16: 135.17, 17: 113.67, 18: 167.83, 19: 122.67, 20: 96.67, 21: 66.83, 22: 50.5, 23: 40.17}","{'2024-10': 2108, '2024-11': 2021, '2024-12': 1716, '2025-1': 2067, '2025-2': 1821, '2025-3': 1738}",1837.0,1940.33
